regarder,to look at - watch
encore,again - over again - even - still
appeler,to call - ring
est-ce que,is it
peu,not much - not very - few - bit
homme,man
partir,to go - leave - go away
toujours,always - still
jour,day - daytime
femme,woman - wife
temps,weather - time - times
maintenant,now - nowadays
vie,life - lifetime - existence
deux,two
mettre,to put - put on - wear
rester,to stay - remain
sans,without
seul,alone
arrêter,to stop
vraiment,really - truly
connaître,to know - experience
quelque,some - a few - any
sûr,on - over
tuer,to kill
mourir,to die - pass away
demander,to ask - ask for - be looking for
juste,just - right - accurate
peut-être,perhaps - maybe
fois,time
père,father
comprendre,to understand
sortir,to go out - take out
personne,anyone - anybody - person - individual
an,year
trop,too much
chez,at - to - in
fille,daughter - girl
monde,world - people
ami,friend - friendly
vrai,true - real - genuine
après,after - afterwards - later
mal,trouble - difficulty - badly - wrongly
besoin,need - demand - necessity
accord,agreement - accord - harmony
